😀	emoji grinning face
🈟	squared cjk unified ideograph-65b0 U+1F21F
🈠	squared cjk unified ideograph-521d U+1F220
🈡	squared cjk unified ideograph-7d42 U+1F221
🈢	squared cjk unified ideograph-751f U+1F222
🈣	squared cjk unified ideograph-8ca9 U+1F223
🈤	squared cjk unified ideograph-58f0 U+1F224
🈥	squared cjk unified ideograph-5439 U+1F225
🈦	squared cjk unified ideograph-6f14 U+1F226
🈧	squared cjk unified ideograph-6295 U+1F227
🈨	squared cjk unified ideograph-6355 U+1F228
🈩	squared cjk unified ideograph-4e00 U+1F229
🈪	squared cjk unified ideograph-4e09 U+1F22A
🈫	squared cjk unified ideograph-904a U+1F22B
🈬	squared cjk unified ideograph-5de6 U+1F22C
🈭	squared cjk unified ideograph-4e2d U+1F22D
🈮	squared cjk unified ideograph-53f3 U+1F22E
🈰	squared cjk unified ideograph-8d70 U+1F230
🈱	squared cjk unified ideograph-6253 U+1F231
🈷	squared cjk unified ideograph-6708 U+1F237
🈻	squared cjk unified ideograph-914d U+1F23B
🉀	tortoise shell bracketed cjk unified ideograph-672c U+1F240
🉁	tortoise shell bracketed cjk unified ideograph-4e09 U+1F241
🉂	tortoise shell bracketed cjk unified ideograph-4e8c U+1F242
🉃	tortoise shell bracketed cjk unified ideograph-5b89 U+1F243
🉄	tortoise shell bracketed cjk unified ideograph-70b9 U+1F244
🉅	tortoise shell bracketed cjk unified ideograph-6253 U+1F245
🉆	tortoise shell bracketed cjk unified ideograph-76d7 U+1F246
🉇	tortoise shell bracketed cjk unified ideograph-52dd U+1F247
🉈	tortoise shell bracketed cjk unified ideograph-6557 U+1F248
🌡	thermometer U+1F321
🌢	black droplet U+1F322
🌣	white sun U+1F323
🌤	white sun with small cloud U+1F324
🌥	white sun behind cloud U+1F325
🌦	white sun behind cloud with rain U+1F326
🌧	cloud with rain U+1F327
🌨	cloud with snow U+1F328
🌩	cloud with lightning U+1F329
🌪	cloud with tornado U+1F32A
🌫	fog U+1F32B
🌬	wind blowing face U+1F32C
🌶	hot pepper U+1F336
🍽	fork and knife with plate U+1F37D
🎔	heart with tip on the left U+1F394
🎕	bouquet of flowers U+1F395
🎖	military medal U+1F396
🎗	reminder ribbon U+1F397
🎘	musical keyboard with jacks U+1F398
🎙	studio microphone U+1F399
🎚	level slider U+1F39A
🎛	control knobs U+1F39B
🎜	beamed ascending musical notes U+1F39C
🎝	beamed descending musical notes U+1F39D
🎞	film frames U+1F39E
🎟	admission tickets U+1F39F
🏋	weight lifter U+1F3CB
🏌	golfer U+1F3CC
🏍	racing motorcycle U+1F3CD
🏎	racing car U+1F3CE
🏔	snow capped mountain U+1F3D4
🏕	camping U+1F3D5
🏖	beach with umbrella U+1F3D6
🏗	building construction U+1F3D7
🏘	house buildings U+1F3D8
🏙	cityscape U+1F3D9
🏚	derelict house building U+1F3DA
🏛	classical building U+1F3DB
🏜	desert U+1F3DC
🏝	desert island U+1F3DD
🏞	national park U+1F3DE
🏟	stadium U+1F3DF
🏱	white pennant U+1F3F1
🏲	black pennant U+1F3F2
🏳	waving white flag U+1F3F3
🏵	rosette U+1F3F5
🏶	black rosette U+1F3F6
🏷	label U+1F3F7
🏻	emoji modifier fitzpatrick type-1-2 U+1F3FB
🏼	emoji modifier fitzpatrick type-3 U+1F3FC
🏽	emoji modifier fitzpatrick type-4 U+1F3FD
🏾	emoji modifier fitzpatrick type-5 U+1F3FE
🏿	emoji modifier fitzpatrick type-6 U+1F3FF
🐿	chipmunk U+1F43F
👁	eye U+1F441
📽	film projector U+1F4FD
📾	portable stereo U+1F4FE
🔾	lower right shadowed white circle U+1F53E
🔿	upper right shadowed white circle U+1F53F
🕀	circled cross pommee U+1F540
🕁	cross pommee with half-circle below U+1F541
🕂	cross pommee U+1F542
🕃	notched left semicircle with three dots U+1F543
🕄	notched right semicircle with three dots U+1F544
🕅	symbol for marks chapter U+1F545
🕆	white latin cross U+1F546
🕇	heavy latin cross U+1F547
🕈	celtic cross U+1F548
🕉	om symbol U+1F549
🕊	dove of peace U+1F54A
🕏	bowl of hygieia U+1F54F
🕨	right speaker U+1F568
🕩	right speaker with one sound wave U+1F569
🕪	right speaker with three sound waves U+1F56A
🕫	bullhorn U+1F56B
🕬	bullhorn with sound waves U+1F56C
🕭	ringing bell U+1F56D
🕮	book U+1F56E
🕯	candle U+1F56F
🕰	mantelpiece clock U+1F570
🕱	black skull and crossbones U+1F571
🕲	no piracy U+1F572
🕳	hole U+1F573
🕴	man in business suit levitating U+1F574
🕵	sleuth or spy U+1F575
🕶	dark sunglasses U+1F576
🕷	spider U+1F577
🕸	spider web U+1F578
🕹	joystick U+1F579
🕻	left hand telephone receiver U+1F57B
🕼	telephone receiver with page U+1F57C
🕽	right hand telephone receiver U+1F57D
🕾	white touchtone telephone U+1F57E
🕿	black touchtone telephone U+1F57F
🖀	telephone on top of modem U+1F580
🖁	clamshell mobile phone U+1F581
🖂	back of envelope U+1F582
🖃	stamped envelope U+1F583
🖄	envelope with lightning U+1F584
🖅	flying envelope U+1F585
🖆	pen over stamped envelope U+1F586
🖇	linked paperclips U+1F587
🖈	black pushpin U+1F588
🖉	lower left pencil U+1F589
🖊	lower left ballpoint pen U+1F58A
🖋	lower left fountain pen U+1F58B
🖌	lower left paintbrush U+1F58C
🖍	lower left crayon U+1F58D
🖎	left writing hand U+1F58E
🖏	turned ok hand sign U+1F58F
🖐	raised hand with fingers splayed U+1F590
🖑	reversed raised hand with fingers splayed U+1F591
🖒	reversed thumbs up sign U+1F592
🖓	reversed thumbs down sign U+1F593
🖔	reversed victory hand U+1F594
🖗	white down pointing left hand index U+1F597
🖘	sideways white left pointing index U+1F598
🖙	sideways white right pointing index U+1F599
🖚	sideways black left pointing index U+1F59A
🖛	sideways black right pointing index U+1F59B
🖜	black left pointing backhand index U+1F59C
🖝	black right pointing backhand index U+1F59D
🖞	sideways white up pointing index U+1F59E
🖟	sideways white down pointing index U+1F59F
🖠	sideways black up pointing index U+1F5A0
🖡	sideways black down pointing index U+1F5A1
🖢	black up pointing backhand index U+1F5A2
🖣	black down pointing backhand index U+1F5A3
🖥	desktop computer U+1F5A5
🖦	keyboard and mouse U+1F5A6
🖧	three networked computers U+1F5A7
🖨	printer U+1F5A8
🖩	pocket calculator U+1F5A9
🖪	black hard shell floppy disk U+1F5AA
🖫	white hard shell floppy disk U+1F5AB
🖬	soft shell floppy disk U+1F5AC
🖭	tape cartridge U+1F5AD
🖮	wired keyboard U+1F5AE
🖯	one button mouse U+1F5AF
🖰	two button mouse U+1F5B0
🖱	three button mouse U+1F5B1
🖲	trackball U+1F5B2
🖳	old personal computer U+1F5B3
🖴	hard disk U+1F5B4
🖵	screen U+1F5B5
🖶	printer icon U+1F5B6
🖷	fax icon U+1F5B7
🖸	optical disc icon U+1F5B8
🖹	document with text U+1F5B9
🖺	document with text and picture U+1F5BA
🖻	document with picture U+1F5BB
🖼	frame with picture U+1F5BC
🖽	frame with tiles U+1F5BD
🖾	frame with an x U+1F5BE
🖿	black folder U+1F5BF
🗀	folder U+1F5C0
🗁	open folder U+1F5C1
🗂	card index dividers U+1F5C2
🗃	card file box U+1F5C3
🗄	file cabinet U+1F5C4
🗅	empty note U+1F5C5
🗆	empty note page U+1F5C6
🗇	empty note pad U+1F5C7
🗈	note U+1F5C8
🗉	note page U+1F5C9
🗊	note pad U+1F5CA
🗋	empty document U+1F5CB
🗌	empty page U+1F5CC
🗍	empty pages U+1F5CD
🗎	document U+1F5CE
🗏	page U+1F5CF
🗐	pages U+1F5D0
🗑	wastebasket U+1F5D1
🗒	spiral note pad U+1F5D2
🗓	spiral calendar pad U+1F5D3
🗔	desktop window U+1F5D4
🗕	minimize U+1F5D5
🗖	maximize U+1F5D6
🗗	overlap U+1F5D7
🗘	clockwise right and left semicircle arrows U+1F5D8
🗙	cancellation x U+1F5D9
🗚	increase font size symbol U+1F5DA
🗛	decrease font size symbol U+1F5DB
🗜	compression U+1F5DC
🗝	old key U+1F5DD
🗞	rolled-up newspaper U+1F5DE
🗟	page with circled text U+1F5DF
🗠	stock chart U+1F5E0
🗡	dagger knife U+1F5E1
🗢	lips U+1F5E2
🗣	speaking head in silhouette U+1F5E3
🗤	three rays above U+1F5E4
🗥	three rays below U+1F5E5
🗦	three rays left U+1F5E6
🗧	three rays right U+1F5E7
🗨	left speech bubble U+1F5E8
🗩	right speech bubble U+1F5E9
🗪	two speech bubbles U+1F5EA
🗫	three speech bubbles U+1F5EB
🗬	left thought bubble U+1F5EC
🗭	right thought bubble U+1F5ED
🗮	left anger bubble U+1F5EE
🗯	right anger bubble U+1F5EF
🗰	mood bubble U+1F5F0
🗱	lightning mood bubble U+1F5F1
🗲	lightning mood U+1F5F2
🗳	ballot box with ballot U+1F5F3
🗴	ballot script x U+1F5F4
🗵	ballot box with script x U+1F5F5
🗶	ballot bold script x U+1F5F6
🗷	ballot box with bold script x U+1F5F7
🗸	light check mark U+1F5F8
🗹	ballot box with bold check U+1F5F9
🗺	world map U+1F5FA
🙐	north west pointing leaf U+1F650
🙑	south west pointing leaf U+1F651
🙒	north east pointing leaf U+1F652
🙓	south east pointing leaf U+1F653
🙔	turned north west pointing leaf U+1F654
🙕	turned south west pointing leaf U+1F655
🙖	turned north east pointing leaf U+1F656
🙗	turned south east pointing leaf U+1F657
🙘	north west pointing vine leaf U+1F658
🙙	south west pointing vine leaf U+1F659
🙚	north east pointing vine leaf U+1F65A
🙛	south east pointing vine leaf U+1F65B
🙜	heavy north west pointing vine leaf U+1F65C
🙝	heavy south west pointing vine leaf U+1F65D
🙞	heavy north east pointing vine leaf U+1F65E
🙟	heavy south east pointing vine leaf U+1F65F
🙠	north west pointing bud U+1F660
🙡	south west pointing bud U+1F661
🙢	north east pointing bud U+1F662
🙣	south east pointing bud U+1F663
🙤	heavy north west pointing bud U+1F664
🙥	heavy south west pointing bud U+1F665
🙦	heavy north east pointing bud U+1F666
🙧	heavy south east pointing bud U+1F667
🙨	hollow quilt square ornament U+1F668
🙩	hollow quilt square ornament in black square U+1F669
🙪	solid quilt square ornament U+1F66A
🙫	solid quilt square ornament in black square U+1F66B
🙬	leftwards rocket U+1F66C
🙭	upwards rocket U+1F66D
🙮	rightwards rocket U+1F66E
🙯	downwards rocket U+1F66F
🙰	script ligature et ornament U+1F670
🙱	heavy script ligature et ornament U+1F671
🙲	ligature open et ornament U+1F672
🙳	heavy ligature open et ornament U+1F673
🙴	heavy ampersand ornament U+1F674
🙵	swash ampersand ornament U+1F675
🙶	sans-serif heavy double turned comma quotation mark ornament U+1F676
🙷	sans-serif heavy double comma quotation mark ornament U+1F677
🙸	sans-serif heavy low double comma quotation mark ornament U+1F678
🙹	heavy interrobang ornament U+1F679
🙺	sans-serif interrobang ornament U+1F67A
🙻	heavy sans-serif interrobang ornament U+1F67B
🙼	very heavy solidus U+1F67C
🙽	very heavy reverse solidus U+1F67D
🙾	checker board U+1F67E
🙿	reverse checker board U+1F67F
🛆	triangle with rounded corners U+1F6C6
🛇	prohibited sign U+1F6C7
🛈	circled information source U+1F6C8
🛉	boys symbol U+1F6C9
🛊	girls symbol U+1F6CA
🛋	couch and lamp U+1F6CB
🛍	shopping bags U+1F6CD
🛎	bellhop bell U+1F6CE
🛏	bed U+1F6CF
🛓	stupa U+1F6D3
🛔	pagoda U+1F6D4
🛠	hammer and wrench U+1F6E0
🛡	shield U+1F6E1
🛢	oil drum U+1F6E2
🛣	motorway U+1F6E3
🛤	railway track U+1F6E4
🛥	motor boat U+1F6E5
🛦	up-pointing military airplane U+1F6E6
🛧	up-pointing airplane U+1F6E7
🛨	up-pointing small airplane U+1F6E8
🛩	small airplane U+1F6E9
🛪	northeast-pointing airplane U+1F6EA
🛰	satellite U+1F6F0
🛱	oncoming fire engine U+1F6F1
🛲	diesel locomotive U+1F6F2
🛳	passenger ship U+1F6F3
🜀	alchemical symbol for quintessence U+1F700
🜁	alchemical symbol for air U+1F701
🜂	alchemical symbol for fire U+1F702
🜃	alchemical symbol for earth U+1F703
🜄	alchemical symbol for water U+1F704
🜅	alchemical symbol for aquafortis U+1F705
🜆	alchemical symbol for aqua regia U+1F706
🜇	alchemical symbol for aqua regia-2 U+1F707
🜈	alchemical symbol for aqua vitae U+1F708
🜉	alchemical symbol for aqua vitae-2 U+1F709
🜊	alchemical symbol for vinegar U+1F70A
🜋	alchemical symbol for vinegar-2 U+1F70B
🜌	alchemical symbol for vinegar-3 U+1F70C
🜍	alchemical symbol for sulfur U+1F70D
🜎	alchemical symbol for philosophers sulfur U+1F70E
🜏	alchemical symbol for black sulfur U+1F70F
🜐	alchemical symbol for mercury sublimate U+1F710
🜑	alchemical symbol for mercury sublimate-2 U+1F711
🜒	alchemical symbol for mercury sublimate-3 U+1F712
🜓	alchemical symbol for cinnabar U+1F713
🜔	alchemical symbol for salt U+1F714
🜕	alchemical symbol for nitre U+1F715
🜖	alchemical symbol for vitriol U+1F716
🜗	alchemical symbol for vitriol-2 U+1F717
🜘	alchemical symbol for rock salt U+1F718
🜙	alchemical symbol for rock salt-2 U+1F719
🜚	alchemical symbol for gold U+1F71A
🜛	alchemical symbol for silver U+1F71B
🜜	alchemical symbol for iron ore U+1F71C
🜝	alchemical symbol for iron ore-2 U+1F71D
🜞	alchemical symbol for crocus of iron U+1F71E
🜟	alchemical symbol for regulus of iron U+1F71F
🜠	alchemical symbol for copper ore U+1F720
🜡	alchemical symbol for iron-copper ore U+1F721
🜢	alchemical symbol for sublimate of copper U+1F722
🜣	alchemical symbol for crocus of copper U+1F723
🜤	alchemical symbol for crocus of copper-2 U+1F724
🜥	alchemical symbol for copper antimoniate U+1F725
🜦	alchemical symbol for salt of copper antimoniate U+1F726
🜧	alchemical symbol for sublimate of salt of copper U+1F727
🜨	alchemical symbol for verdigris U+1F728
🜩	alchemical symbol for tin ore U+1F729
🜪	alchemical symbol for lead ore U+1F72A
🜫	alchemical symbol for antimony ore U+1F72B
🜬	alchemical symbol for sublimate of antimony U+1F72C
🜭	alchemical symbol for salt of antimony U+1F72D
🜮	alchemical symbol for sublimate of salt of antimony U+1F72E
🜯	alchemical symbol for vinegar of antimony U+1F72F
🜰	alchemical symbol for regulus of antimony U+1F730
🜱	alchemical symbol for regulus of antimony-2 U+1F731
🜲	alchemical symbol for regulus U+1F732
🜳	alchemical symbol for regulus-2 U+1F733
🜴	alchemical symbol for regulus-3 U+1F734
🜵	alchemical symbol for regulus-4 U+1F735
🜶	alchemical symbol for alkali U+1F736
🜷	alchemical symbol for alkali-2 U+1F737
🜸	alchemical symbol for marcasite U+1F738
🜹	alchemical symbol for sal-ammoniac U+1F739
🜺	alchemical symbol for arsenic U+1F73A
🜻	alchemical symbol for realgar U+1F73B
🜼	alchemical symbol for realgar-2 U+1F73C
🜽	alchemical symbol for auripigment U+1F73D
🜾	alchemical symbol for bismuth ore U+1F73E
🜿	alchemical symbol for tartar U+1F73F
🝀	alchemical symbol for tartar-2 U+1F740
🝁	alchemical symbol for quick lime U+1F741
🝂	alchemical symbol for borax U+1F742
🝃	alchemical symbol for borax-2 U+1F743
🝄	alchemical symbol for borax-3 U+1F744
🝅	alchemical symbol for alum U+1F745
🝆	alchemical symbol for oil U+1F746
🝇	alchemical symbol for spirit U+1F747
🝈	alchemical symbol for tincture U+1F748
🝉	alchemical symbol for gum U+1F749
🝊	alchemical symbol for wax U+1F74A
🝋	alchemical symbol for powder U+1F74B
🝌	alchemical symbol for calx U+1F74C
🝍	alchemical symbol for tutty U+1F74D
🝎	alchemical symbol for caput mortuum U+1F74E
🝏	alchemical symbol for scepter of jove U+1F74F
🝐	alchemical symbol for caduceus U+1F750
🝑	alchemical symbol for trident U+1F751
🝒	alchemical symbol for starred trident U+1F752
🝓	alchemical symbol for lodestone U+1F753
🝔	alchemical symbol for soap U+1F754
🝕	alchemical symbol for urine U+1F755
🝖	alchemical symbol for horse dung U+1F756
🝗	alchemical symbol for ashes U+1F757
🝘	alchemical symbol for pot ashes U+1F758
🝙	alchemical symbol for brick U+1F759
🝚	alchemical symbol for powdered brick U+1F75A
🝛	alchemical symbol for amalgam U+1F75B
🝜	alchemical symbol for stratum super stratum U+1F75C
🝝	alchemical symbol for stratum super stratum-2 U+1F75D
🝞	alchemical symbol for sublimation U+1F75E
🝟	alchemical symbol for precipitate U+1F75F
🝠	alchemical symbol for distill U+1F760
🝡	alchemical symbol for dissolve U+1F761
🝢	alchemical symbol for dissolve-2 U+1F762
🝣	alchemical symbol for purify U+1F763
🝤	alchemical symbol for putrefaction U+1F764
🝥	alchemical symbol for crucible U+1F765
🝦	alchemical symbol for crucible-2 U+1F766
🝧	alchemical symbol for crucible-3 U+1F767
🝨	alchemical symbol for crucible-4 U+1F768
🝩	alchemical symbol for crucible-5 U+1F769
🝪	alchemical symbol for alembic U+1F76A
🝫	alchemical symbol for bath of mary U+1F76B
🝬	alchemical symbol for bath of vapours U+1F76C
🝭	alchemical symbol for retort U+1F76D
🝮	alchemical symbol for hour U+1F76E
🝯	alchemical symbol for night U+1F76F
🝰	alchemical symbol for day-night U+1F770
🝱	alchemical symbol for month U+1F771
🝲	alchemical symbol for half dram U+1F772
🝳	alchemical symbol for half ounce U+1F773
🝴	lot of fortune U+1F774
🝵	occultation U+1F775
🝶	lunar eclipse U+1F776
🝻	haumea U+1F77B
🝼	makemake U+1F77C
🝽	gonggong U+1F77D
🝾	quaoar U+1F77E
🝿	orcus U+1F77F
🞀	black left-pointing isosceles right triangle U+1F780
🞁	black up-pointing isosceles right triangle U+1F781
🞂	black right-pointing isosceles right triangle U+1F782
🞃	black down-pointing isosceles right triangle U+1F783
🞄	black slightly small circle U+1F784
🞅	medium bold white circle U+1F785
🞆	bold white circle U+1F786
🞇	heavy white circle U+1F787
🞈	very heavy white circle U+1F788
🞉	extremely heavy white circle U+1F789
🞊	white circle containing black small circle U+1F78A
🞋	round target U+1F78B
🞌	black tiny square U+1F78C
🞍	black slightly small square U+1F78D
🞎	light white square U+1F78E
🞏	medium white square U+1F78F
🞐	bold white square U+1F790
🞑	heavy white square U+1F791
🞒	very heavy white square U+1F792
🞓	extremely heavy white square U+1F793
🞔	white square containing black very small square U+1F794
🞕	white square containing black medium square U+1F795
🞖	square target U+1F796
🞗	black tiny diamond U+1F797
🞘	black very small diamond U+1F798
🞙	black medium small diamond U+1F799
🞚	white diamond containing black very small diamond U+1F79A
