😀	emoji grinning face
🧔	emoji person: beard
🧔🏻	emoji person: light skin tone, beard
🧔🏼	emoji person: medium-light skin tone, beard
🧔🏽	emoji person: medium skin tone, beard
🧔🏾	emoji person: medium-dark skin tone, beard
🧔🏿	emoji person: dark skin tone, beard
🧔‍♂️	emoji man: beard
🧔🏻‍♂️	emoji man: light skin tone, beard
🧔🏼‍♂️	emoji man: medium-light skin tone, beard
🧔🏽‍♂️	emoji man: medium skin tone, beard
🧔🏾‍♂️	emoji man: medium-dark skin tone, beard
🧔🏿‍♂️	emoji man: dark skin tone, beard
🧔‍♀️	emoji woman: beard
🧔🏻‍♀️	emoji woman: light skin tone, beard
🧔🏼‍♀️	emoji woman: medium-light skin tone, beard
🧔🏽‍♀️	emoji woman: medium skin tone, beard
🧔🏾‍♀️	emoji woman: medium-dark skin tone, beard
🧔🏿‍♀️	emoji woman: dark skin tone, beard
👨‍🦰	emoji man: red hair
👨🏻‍🦰	emoji man: light skin tone, red hair
👨🏼‍🦰	emoji man: medium-light skin tone, red hair
👨🏽‍🦰	emoji man: medium skin tone, red hair
👨🏾‍🦰	emoji man: medium-dark skin tone, red hair
👨🏿‍🦰	emoji man: dark skin tone, red hair
👨‍🦱	emoji man: curly hair
👨🏻‍🦱	emoji man: light skin tone, curly hair
👨🏼‍🦱	emoji man: medium-light skin tone, curly hair
👨🏽‍🦱	emoji man: medium skin tone, curly hair
👨🏾‍🦱	emoji man: medium-dark skin tone, curly hair
👨🏿‍🦱	emoji man: dark skin tone, curly hair
👨‍🦳	emoji man: white hair
👨🏻‍🦳	emoji man: light skin tone, white hair
👨🏼‍🦳	emoji man: medium-light skin tone, white hair
👨🏽‍🦳	emoji man: medium skin tone, white hair
👨🏾‍🦳	emoji man: medium-dark skin tone, white hair
👨🏿‍🦳	emoji man: dark skin tone, white hair
👨‍🦲	emoji man: bald
👨🏻‍🦲	emoji man: light skin tone, bald
👨🏼‍🦲	emoji man: medium-light skin tone, bald
👨🏽‍🦲	emoji man: medium skin tone, bald
👨🏾‍🦲	emoji man: medium-dark skin tone, bald
👨🏿‍🦲	emoji man: dark skin tone, bald
👩	emoji woman
👩🏻	emoji woman: light skin tone
👩🏼	emoji woman: medium-light skin tone
👩🏽	emoji woman: medium skin tone
👩🏾	emoji woman: medium-dark skin tone
👩🏿	emoji woman: dark skin tone
👩‍🦰	emoji woman: red hair
👩🏻‍🦰	emoji woman: light skin tone, red hair
👩🏼‍🦰	emoji woman: medium-light skin tone, red hair
👩🏽‍🦰	emoji woman: medium skin tone, red hair
👩🏾‍🦰	emoji woman: medium-dark skin tone, red hair
👩🏿‍🦰	emoji woman: dark skin tone, red hair
🧑‍🦰	emoji person: red hair
🧑🏻‍🦰	emoji person: light skin tone, red hair
🧑🏼‍🦰	emoji person: medium-light skin tone, red hair
🧑🏽‍🦰	emoji person: medium skin tone, red hair
🧑🏾‍🦰	emoji person: medium-dark skin tone, red hair
🧑🏿‍🦰	emoji person: dark skin tone, red hair
👩‍🦱	emoji woman: curly hair
👩🏻‍🦱	emoji woman: light skin tone, curly hair
👩🏼‍🦱	emoji woman: medium-light skin tone, curly hair
👩🏽‍🦱	emoji woman: medium skin tone, curly hair
👩🏾‍🦱	emoji woman: medium-dark skin tone, curly hair
👩🏿‍🦱	emoji woman: dark skin tone, curly hair
🧑‍🦱	emoji person: curly hair
🧑🏻‍🦱	emoji person: light skin tone, curly hair
🧑🏼‍🦱	emoji person: medium-light skin tone, curly hair
🧑🏽‍🦱	emoji person: medium skin tone, curly hair
🧑🏾‍🦱	emoji person: medium-dark skin tone, curly hair
🧑🏿‍🦱	emoji person: dark skin tone, curly hair
👩‍🦳	emoji woman: white hair
👩🏻‍🦳	emoji woman: light skin tone, white hair
👩🏼‍🦳	emoji woman: medium-light skin tone, white hair
👩🏽‍🦳	emoji woman: medium skin tone, white hair
👩🏾‍🦳	emoji woman: medium-dark skin tone, white hair
👩🏿‍🦳	emoji woman: dark skin tone, white hair
🧑‍🦳	emoji person: white hair
